SNO,Title,Authors,Number of Authors,Year of Study,Number of Publications by Author,Publisher Site,Keywords
28,Impact of Information and Communication Technology on Library and its Services,"K. Vinitha, Dr. S. Kanthimathi , K. Tharani Devi ",3,2019,4,SPRINGER,"Information, Digital Library, Commitment"
29,Knowledge Representation and Organization in the Iter Project: A Web-Based Digital Library for Scholars of the Middle Ages and Renaissance,Clare Beghtol,1,2018,1,SCRIBD,"Digital Library, Knowledge, Organization"
30,Spectral transformations for digital filters,A.G. Constantinides ,1,2019,3,IEEE,digital filters; frequency-domain analysis
31,Browsing around a digital library,Ian Witten,1,2020,2,SPRINGER,"Digital libraries, Visualization, Clustering"
32,UGC-INFONET Digital Library Consortium: Present Services and Future Endeavours,"Jagdish Arora,  Kruti Trivedi",2,2022,4,SCIENCE OPEN,"Library consortium, UGC-INFONET digital library consortium, cost recovery, e-resources"
33,An initial evaluation of automated organization for digital library browsing,"Aaron Krownee, Martin Halbert",2,2021,1,SPRINGER,"Automation, Digital Library, Visualization"
34,Market-Based Negotiation for Digital Library Services,Tracy Mullen and Michael P. Wellman,2,2019,5,SCRIBD,"Electronic libraries, negotiations"
35,Interest-based Recommendation in Digital Library,Yan Yang and Jian Zhong Li,2,2020,5,SCIENCE OPEN,"Digital Library, Personalization, Recommendation, Degree of Interest"
36,Digital library research: major issues and trends,"Chowdhury, G.G. and Chowdhury, S",3,2020,3,SPRINGER,"library services,research measurement"
37,Massive-Scale Data Mining to Enhance Digital Library with Applications in College Education, Chunyan Xucorresponding author and Jing Bai,4,2022,1,REASEARCH GATE,big data by digital libraries is emerging
52,An exploration of the digital library evaluation literature based on an ontological representation,"Tsakonas G., Mitrelis A., Papachristopoulos L., Papatheodorou C.",4,2013,1,SCRIBD,"Singular Value Decomposition,Recommendation System,user profile"
38,Problems and Changes in Digital Libraries in the Age of Big Data From the Perspective of User Services,ShuqingLi,1,2018,4,REASEARCH GATE,big data by digital libraries is emerging
39,Library and Information Service,"He S., Xinling F., Wu Q., Taichun X., Renpu L. ",3,2018,2,SCRIBD,"Library, Big Data and Digital Mining; Personalized Service"
40,Research on personalized service of library based on trusted small data. Library and Information Service,"Ma X., Chen C",2,2015,1,REASEARCH GATE,"Digital library, Scientometrics, Vosviewer, Biblioshiny, Research trend"
41,Impact of New Technologies in the Digital Libraries,"Manohar G. Shinde , Nagu Navanath Bansode",2,2019,4,SPRINGER,"Digital Library, Quick Access, Digital Information collection, Multimedia data"
42,Usage Analysis for the Identification of Research Trends in Digital Libraries,"Johan Bollen , Rick Luce ,
Soma Sekhara Vemulapalli",3,2013,3,SPRINGER,"Impact ranking, structural analysis, temporal analysis."
43,Trend analysis of total ozone data for turnaround and dynamical contributions,"Gregory C. Reinsel,Alvin J. Miller,Elizabeth C. Weatherhead",5,2005,1,SPRINGER,"Digital Libraries, Trends, Research, Technologies"
44,Challenges for Digital Library Evaluation,"Tefko Saracevic, Ph.D.
Lisa Covi",2,2000,5,SCRIBD,"Interface management,user interfaces"
45,Rich interaction in the digital library,Marti A. Hearst,1,1995,3,REASEARCH GATE,"Library, Big Data and Digital Mining; Personalized Service"
46,Usability in the context of the digital library,Judy Jeng,1,2005,2,SCRIBD,"Usability, dimensionality"
48,Improving browsing in digital libraries with keyphrase indexes,"CarlGutwina,GordonPaynterb",2,1999,1,REASEARCH GATE,Keyphind
49,"Digital Libraries, Features, Benefits, Issues and their Major Trends",Mr.Picheswarao Duddu,1,2018,1,REASEARCH GATE,"Trends Library Design, Digitization Strategy Framework, Benefits, Managerial Skills"
50,From Digital Library to Open Datasets: Embracing a “Collections as Data” Framework,"Rachel Wittmann, Anna Neatrour, Rebekah Cummings, and Jeremy Myntt",4,2019,3,SCRIBD,"sentiment analysis, network graphs, data visualization"
